time,air_pressure_at_sea_level,air_temperature,cloud_area_fraction,cloud_area_fraction_high,cloud_area_fraction_low,cloud_area_fraction_medium,dew_point_temperature,fog_area_fraction,relative_humidity,ultraviolet_index_clear_sky,wind_from_direction,wind_speed,zenith,solar_azimuth,aoi,irradiance
2021-11-17 01:00:00+03:00,1015.9,-0.5,100.0,83.6,100.0,100.0,-1.7,0.0,92.3,0.0,288.5,5.7,139.56705691284867,31.922231854595736,159.5413247570643,0.0
2021-11-17 02:00:00+03:00,1016.0,-0.3,100.0,22.7,100.0,56.2,-1.5,0.0,92.8,0.0,290.5,5.5,134.03157151289685,51.072123820237266,145.36833352838903,0.0
2021-11-17 03:00:00+03:00,1016.2,-0.2,100.0,23.4,100.0,95.3,-1.3,0.0,93.2,0.0,290.7,5.3,126.86884345263299,67.2078552629992,131.2103463509874,0.0
2021-11-17 04:00:00+03:00,1016.3,-0.1,100.0,96.9,100.0,100.0,-1.0,0.0,93.9,0.0,292.1,5.1,118.8453148216997,81.15857763109614,117.13663313611038,0.0
2021-11-17 05:00:00+03:00,1016.4,0.0,100.0,100.0,100.0,67.2,-0.9,0.0,94.3,0.0,294.1,4.9,110.51531217264815,93.80596967893871,103.20908816808326,0.0
2021-11-17 06:00:00+03:00,1016.6,0.2,100.0,100.0,100.0,81.2,-0.7,0.0,94.3,0.0,292.7,4.6,102.29947141803743,105.86368930177264,89.51360676519784,0.0
2021-11-17 07:00:00+03:00,1016.6,0.3,100.0,68.0,100.0,49.2,-0.6,0.0,93.9,0.0,292.0,4.4,94.56044097852083,117.87985509520286,76.1890305649149,0.0
2021-11-17 08:00:00+03:00,1017.1,0.3,100.0,100.0,100.0,89.8,-0.5,0.0,93.9,0.1,293.7,4.4,87.39212858417831,130.26659177552716,63.26353673146456,10.997650119251725
2021-11-17 09:00:00+03:00,1017.5,0.5,100.0,100.0,100.0,100.0,-0.4,0.0,93.6,0.3,294.5,4.3,81.83152278207264,143.29793682150273,51.75889542750937,49.269371048819956
2021-11-17 10:00:00+03:00,1017.9,0.7,100.0,98.4,100.0,100.0,-0.2,0.0,92.8,0.5,298.5,3.9,77.71973278359027,157.06979489021217,42.150718285510884,86.34001419490114
2021-11-17 11:00:00+03:00,1018.4,1.0,100.0,100.0,100.0,99.2,-0.1,0.0,91.9,0.6,296.0,3.6,75.47290504715124,171.4514829190624,36.149825654970215,111.20692563362087
2021-11-17 12:00:00+03:00,1018.7,1.2,100.0,100.0,100.0,99.2,-0.1,0.0,90.5,0.6,301.9,3.7,75.3045858931135,186.0935281620717,35.65138630598646,117.82376856279747
2021-11-17 13:00:00+03:00,1018.9,1.3,100.0,100.0,90.6,99.2,-0.1,0.0,89.9,0.4,301.5,2.9,77.23152325523958,200.54272997312026,40.857970418814205,101.45127284342811
2021-11-17 14:00:00+03:00,1019.4,0.9,100.0,100.0,100.0,81.2,0.1,0.0,93.2,0.2,285.3,2.3,81.06990914116572,214.4223757444321,50.005344477707794,56.77191237858559
2021-11-17 15:00:00+03:00,1019.8,0.7,100.0,78.1,100.0,5.5,0.1,0.0,95.4,0.1,280.9,2.5,86.44783753875606,227.56350516577947,61.29081067473053,13.450562520396673
2021-11-17 16:00:00+03:00,1020.3,0.6,100.0,100.0,100.0,0.8,0.1,0.0,96.2,0.0,288.3,2.7,93.40806026304504,240.028016168163,74.03710600676344,0.0
2021-11-17 17:00:00+03:00,1020.8,0.6,100.0,100.0,100.0,43.7,0.1,0.0,95.8,0.0,288.3,2.6,101.04627653089369,252.06425133458785,87.27721087547968,0.0
2021-11-17 18:00:00+03:00,1021.2,0.4,100.0,0.0,100.0,0.0,0.0,0.0,96.1,0.0,289.6,2.1,109.22096303195168,264.0626546287424,100.91818407006188,0.0
2021-11-17 19:00:00+03:00,1021.4,0.2,100.0,0.0,100.0,0.0,-0.3,0.0,97.1,0.0,266.0,1.7,117.57516426810307,276.54749504780455,114.80807806954898,0.0
2021-11-17 20:00:00+03:00,1021.7,0.3,100.0,0.0,100.0,0.0,0.0,0.0,97.6,0.0,267.4,2.0,125.70433722712956,290.2045141390102,128.85407676036365,0.0
2021-11-17 21:00:00+03:00,1022.1,0.3,100.0,0.0,100.0,0.0,0.1,0.0,97.9,0.0,274.1,2.0,133.08432635643015,305.89913256816254,142.9906510134401,0.0
2021-11-17 22:00:00+03:00,1022.4,0.4,100.0,0.0,100.0,0.0,0.1,0.0,97.6,0.0,282.0,2.0,138.98710197583688,324.5200653191556,157.1493891635265,0.0
2021-11-17 23:00:00+03:00,1022.8,0.4,100.0,0.0,100.0,0.0,0.1,0.0,97.0,0.0,279.6,2.1,142.48645976031355,346.29892486994925,171.08538941283084,0.0
2021-11-18 00:00:00+03:00,1023.3,0.4,100.0,0.0,100.0,0.0,0.0,0.0,96.8,0.0,276.7,2.1,142.7874560306456,9.730631480947295,173.326295520567,0.0
